15/4/16,7:45 PM,Rebels,2,0,1,13,38,6,4,0,Hurricanes,AAMI Park
15/4/16,7:00 PM,Cheetahs,14,11,0,92,17,2,2,1,Sunwolves,Free State Stadium
16/4/16,7:35 PM,Blues,2,2,3,23,18,2,1,2,Sharks,Eden Park
16/4/16,7:45 PM,Waratahs,2,2,2,20,26,4,3,0,Brumbies,Allianz Stadium
16/4/16,5:05 PM,Bulls,5,5,2,41,22,3,2,1,Reds,Loftus Versfeld
16/4/16,7:15 PM,Lions,2,2,5,29,22,1,1,5,Stormers,Ellis Park Stadium
22/4/16,7:35 PM,Highlanders,1,0,3,14,15,0,0,5,Sharks,Forsyth Barr Stadium
22/4/16,7:45 PM,Rebels,5,4,1,36,14,2,2,0,Cheetahs,AAMI Park
23/4/16,2:15 PM,Sunwolves,3,3,5,36,28,4,1,2,Jaguares,Prince Chichibu Memorial Stadium
23/4/16,7:35 PM,Hurricanes,4,2,1,27,28,4,4,0,Chiefs,Westpac Stadium
23/4/16,5:45 PM,Force,1,1,2,13,49,6,5,3,Waratahs,nib Stadium
23/4/16,3:00 PM,Stormers,4,4,4,40,22,3,2,1,Reds,DHL Newlands
23/4/16,5:10 PM,Kings,2,0,0,10,45,7,5,0,Lions,Nelson Mandela Bay Stadium
23/4/16,4:05 PM,Brumbies,2,2,0,14,40,6,5,0,Crusaders,GIO Stadium
29/4/16,7:35 PM,Chiefs,2,1,4,24,22,3,2,1,Sharks,Yarrow Stadium
29/4/16,7:05 PM,Force,2,2,2,20,42,5,4,3,Bulls,nib Stadium
30/4/16,5:15 PM,Blues,6,3,0,36,30,4,2,2,Rebels,Eden Park
30/4/16,7:35 PM,Highlanders,2,2,3,23,10,1,1,1,Brumbies,Rugby Park Stadium
30/4/16,7:45 PM,Reds,3,3,3,30,17,2,2,1,Cheetahs,Suncorp Stadium
30/4/16,5:05 PM,Lions,3,1,0,17,50,7,6,1,Hurricanes,Ellis Park Stadium
30/4/16,7:15 PM,Stormers,3,3,3,30,32,4,3,2,Waratahs,DHL Newlands
30/4/16,6:40 PM,Jaguares,11,9,0,73,27,4,2,1,Kings,José Amalfitani Stadium
6/5/16,7:35 PM,Crusaders,6,4,0,38,5,1,0,0,Reds,AMI Stadium
6/5/16,7:45 PM,Brumbies,2,2,3,23,6,0,0,2,Bulls,GIO Stadium
7/5/16,2:15 PM,Sunwolves,4,1,0,22,40,6,5,0,Force,Prince Chichibu Memorial Stadium
7/5/16,7:35 PM,Chiefs,2,0,1,13,26,3,1,3,Highlanders,FMG Stadium Waikato
7/5/16,7:45 PM,Waratahs,2,1,3,21,6,0,0,2,Cheetahs,Allianz Stadium
7/5/16,3:00 PM,Sharks,4,3,2,32,15,2,1,1,Hurricanes,Kings Park Stadium
7/5/16,5:10 PM,Kings,2,1,2,18,34,5,3,1,Blues,Nelson Mandela Bay Stadium
13/5/16,7:35 PM,Highlanders,5,3,1,34,26,2,2,4,Crusaders,Forsyth Barr Stadium
13/5/16,7:45 PM,Rebels,3,2,1,22,30,5,1,1,Brumbies,AAMI Park
14/5/16,7:35 PM,Hurricanes,5,2,0,29,14,1,0,3,Reds,Westpac Stadium
14/5/16,7:40 PM,Waratahs,4,4,1,31,8,1,0,1,Bulls,Allianz Stadium
14/5/16,7:45 PM,Sunwolves,1,0,4,17,17,2,2,1,Stormers,National Stadium
14/5/16,5:05 PM,Cheetahs,4,4,2,34,20,2,2,2,Kings,Free State Stadium
14/5/16,7:10 PM,Lions,7,4,0,43,5,1,0,0,Blues,Ellis Park Stadium
14/5/16,6:40 PM,Jaguares,3,2,1,22,25,1,1,6,Sharks,José Amalfitani Stadium
20/5/16,7:35 PM,Crusaders,4,3,1,29,10,2,0,0,Waratahs,AMI Stadium
21/5/16,3:05 PM,Reds,4,3,3,35,25,3,2,2,Sunwolves,Suncorp Stadium
21/5/16,7:35 PM,Chiefs,5,4,1,36,15,2,1,1,Rebels,FMG Stadium Waikato
21/5/16,5:40 PM,Force,1,1,2,13,17,2,2,1,Blues,nib Stadium
21/5/16,3:00 PM,Lions,8,3,2,52,24,2,1,4,Jaguares,Ellis Park Stadium
21/5/16,5:05 PM,Sharks,8,5,1,53,0,0,0,0,Kings,Kings Park Stadium
21/5/16,7:10 PM,Bulls,1,0,4,17,13,1,1,2,Stormers,Loftus Versfeld
27/5/16,7:35 PM,Hurricanes,3,3,2,27,20,2,2,2,Highlanders,Westpac Stadium
27/5/16,7:40 PM,Waratahs,6,6,1,45,25,4,1,1,Chiefs,Allianz Stadium
27/5/16,7:00 PM,Kings,4,3,1,29,22,1,1,5,Jaguares,Nelson Mandela Bay Stadium
28/5/16,7:35 PM,Blues,2,1,3,21,26,2,2,4,Crusaders,Eden Park
28/5/16,7:40 PM,Brumbies,10,8,0,65,5,1,0,0,Sunwolves,GIO Stadium
28/5/16,3:00 PM,Stormers,3,2,4,31,24,2,1,4,Cheetahs,DHL Newlands
28/5/16,5:05 PM,Bulls,3,1,1,20,56,7,6,3,Lions,Loftus Versfeld
29/5/16,4:05 PM,Rebels,4,2,1,27,22,3,2,1,Force,AAMI Park
1/7/16,7:35 PM,Chiefs,,,,,,,,,Crusaders,ANZ National Stadium
1/7/16,7:40 PM,Brumbies,,,,,,,,,Reds,GIO Stadium
2/7/16,2:15 PM,Sunwolves,,,,,,,,,Waratahs,Prince Chichibu Memorial Stadium
2/7/16,7:35 PM,Hurricanes,,,,,,,,,Blues,Westpac Stadium
2/7/16,7:40 PM,Rebels,,,,,,,,,Stormers,AAMI Park
2/7/16,3:00 PM,Cheetahs,,,,,,,,,Force,Free State Stadium
2/7/16,5:05 PM,Kings,,,,,,,,,Highlanders,Nelson Mandela Bay Stadium
2/7/16,7:10 PM,Lions,,,,,,,,,Sharks,Ellis Park Stadium
2/7/16,6:40 PM,Jaguares,,,,,,,,,Bulls,José Amalfitani Stadium
8/7/16,7:35 PM,Blues,,,,,,,,,Brumbies,Eden Park
8/7/16,7:40 PM,Reds,,,,,,,,,Chiefs,Suncorp Stadium
8/7/16,7:00 PM,Lions,,,,,,,,,Kings,Ellis Park Stadium
9/7/16,7:35 PM,Crusaders,,,,,,,,,Rebels,AMI Stadium
9/7/16,7:40 PM,Waratahs,,,,,,,,,Hurricanes,Allianz Stadium
9/7/16,7:45 PM,Force,,,,,,,,,Stormers,nib Stadium
9/7/16,5:05 PM,Bulls,,,,,,,,,Sunwolves,Loftus Versfeld
9/7/16,7:10 PM,Sharks,,,,,,,,,Cheetahs,Kings Park Stadium
9/7/16,6:40 PM,Jaguares,,,,,,,,,Highlanders,José Amalfitani Stadium
15/7/16,7:35 PM,Blues,,,,,,,,,Waratahs,Eden Park
15/7/16,7:40 PM,Reds,,,,,,,,,Rebels,Suncorp Stadium
15/7/16,7:00 PM,Sharks,,,,,,,,,Sunwolves,Kings Park Stadium
16/7/16,5:15 PM,Crusaders,,,,,,,,,Hurricanes,AMI Stadium
16/7/16,7:35 PM,Highlanders,,,,,,,,,Chiefs,Forsyth Barr Stadium
16/7/16,7:40 PM,Brumbies,,,,,,,,,Force,GIO Stadium
16/7/16,5:05 PM,Stormers,,,,,,,,,Kings,DHL Newlands
16/7/16,7:10 PM,Cheetahs,,,,,,,,,Bulls,Free State Stadium
16/7/16,TBD,Jaguares,,,,,,,,,Lions,José Amalfitani Stadium
